Neighbourhood,n_properties,avall_public,median_assessvalue,sd_assessedvalue,median_yearbuilt,pct_with_unit,avg_assessvalue_without_unit,avg_lotsize,suppressed
ROSSLYN,1030,258416.01941747568,275500,71584.3436531229,1961,0,258416.01941747568,550.4934291262136,FALSE
ROYAL GARDENS,1059,289197.82813975477,344000,105660.35173666594,1967,0,289197.82813975477,419.8379822474028,FALSE
RUNDLE HEIGHTS,1016,215438.97637795273,237750,103887.41166284448,1970,0,215438.97637795273,406.8843435039369,FALSE
RURAL NORTH EAST HORSE HILL,100,543370,525000,193374.1286634891,1976,0,543370,64916.02512,FALSE
RURAL NORTH EAST NORTH STURGEON,103,442140.7766990292,369000,251744.2136480463,1975,0,442140.7766990292,203646.8460621359,FALSE
RURAL NORTH EAST SOUTH STURGEON,251,653501.9920318726,653000,404753.326108651,2004,0,653501.9920318726,29158.1346812749,FALSE
RURAL SOUTH EAST,105,613047.619047619,575500,209338.9724894302,1976,0,613047.619047619,116375.25161047619,FALSE
RURAL WEST,205,769909.7560975611,723000,421596.2173603876,1985.5,0,769909.7560975611,47297.51497609756,FALSE
RURAL WEST BIG LAKE,71,NA,NA,NA,NA,NA,NA,NA,TRUE
RUTHERFORD,3919,342602.4496044872,346000,142705.87933957626,2006,0,342602.4496044872,323.40375680020384,FALSE
SAKAW,1216,297224.50657894736,305500,65835.46150461686,1980,0,297224.50657894736,524.9068124999999,FALSE
SATOO,1226,283953.5073409461,304500,74690.96248867355,1975,0,283953.5073409461,585.3455562805873,FALSE
SCHONSEE,1065,348520.9389671347,332000,348200.8250572453,2010,0,348520.9389671347,900.0868984037571,FALSE
SECORD,749,447214.95327102824,420500,739389.4697369708,2011,0,447214.95327102824,2308.9021134846494,FALSE
SHERBROOKE,944,253793.43220338994,284000,83317.90311264216,1953,0,253793.43220338994,544.2096281779661,FALSE
SHERWOOD,487,248649.89733059568,245000,100635.74209711976,1957,0,248649.89733059568,539.927693429158,FALSE
SIFTON PARK,415,268115.6626506024,299500,83475.17563518828,1976,0,268115.6626506024,520.0197301204819,FALSE
SILVER BERRY,2556,337035.0156494519,344500,81124.37026275242,2005,0,337035.0156494519,333.33879479655735,FALSE
SKYRATTLER,1103,205611.96736174065,191500,111488.98573463132,1979,0,205611.96736174065,267.7884206708975,FALSE
SOUTH EDMONTON COMMON,1,NA,NA,NA,NA,NA,NA,NA,TRUE
SOUTH TERWILLEGAR,3567,334209.41968040145,317000,133249.89549882733,2007,0,334209.41968040145,295.24452276422824,FALSE
SOUTHEAST (ANNEXED) INDUSTRIAL,4,NA,NA,NA,NA,NA,NA,NA,TRUE
SPRUCE AVENUE,583,248172.38421955387,255500,69497.18683749976,1948,0,248172.38421955387,556.9571888507718,FALSE
STARLING,179,381508.37988826813,224500,875855.3723968068,2012,0,381508.37988826813,4025.7846480446906,FALSE
STEINHAUER,763,361887.9423328965,384000,102155.15686882529,1976,0,361887.9423328965,536.7247273918742,FALSE
STEWART GREENS,5,NA,NA,NA,NA,NA,NA,NA,TRUE
STRATHCONA,2970,331977.60942760843,301500,218096.78369926036,1972,0,331977.60942760843,207.56472791245835,FALSE
STRATHCONA INDUSTRIAL PARK,1,NA,NA,NA,NA,NA,NA,NA,TRUE
STRATHCONA JUNCTION,1,NA,NA,NA,NA,NA,NA,NA,TRUE
STRATHEARN,675,400810.3703703704,360500,198294.00820628795,1952,0,400810.3703703704,529.2258977777778,FALSE
SUDER GREENS,1044,396391.76245210745,387500,96608.13428449018,2005,0,396391.76245210745,392.2582969348659,FALSE
SUMMERLEA,588,301222.78911564616,312750,181431.69182461058,1981,0,301222.78911564616,392.8026343537414,FALSE
SUMMERSIDE,3745,407124.2990654194,390000,309227.38487705437,2008,0,407124.2990654194,575.9937616021365,FALSE
SUNWAPTA INDUSTRIAL,3,NA,NA,NA,NA,NA,NA,NA,TRUE
SWEET GRASS,1016,295431.10236220394,257500,142954.68356740722,1977,0,295431.10236220394,435.25030610236263,FALSE
TAMARACK,1051,392892.48334919114,361500,689234.6544576462,2010,0,392892.48334919114,1917.1280964795492,FALSE
TAWA,828,237659.4202898549,236250,266065.3654004694,1993,0,237659.4202898549,200.65174637681193,FALSE
TERRA LOSA,1307,215752.86916602915,227000,88856.91768153242,1994,0,215752.86916602915,146.32416373374144,FALSE
TERRACE HEIGHTS,660,314799.2424242426,349750,119192.97196962479,1960,0,314799.2424242426,474.2933151515153,FALSE
TERWILLEGAR TOWNE,2353,431341.47896302445,379000,196294.82878918704,2003,0,431341.47896302445,398.94279885252865,FALSE
THE HAMPTONS,3927,366257.193786605,366000,132488.4516485998,2007,0,366257.193786605,387.5725054494525,FALSE
THE ORCHARDS AT ELLERSLIE,399,379873.4335839598,336000,808180.03532224,2012,0,379873.4335839598,4439.561037593984,FALSE
THORNCLIFF,743,274489.9057873486,301500,76950.37409377363,1973,0,274489.9057873486,491.3158048452221,FALSE
TIPASKAN,892,234246.07623318376,247500,90331.7537865979,1978,0,234246.07623318376,419.04815022421525,FALSE
TRUMPETER AREA,389,386928.0205655526,335000,827737.0638478523,2011,0,386928.0205655526,4945.182383033424,FALSE
TWEDDLE PLACE,757,292474.9009247027,314500,77679.49450503418,1974,0,292474.9009247027,632.7689260237781,FALSE
TWIN BROOKS,2284,497026.2697022757,473000,185453.7030181022,1995,0,497026.2697022757,595.4232915936952,FALSE
UNIVERSITY OF ALBERTA FARM,6,NA,NA,NA,NA,NA,NA,NA,TRUE
VIRGINIA PARK,207,357463.7681159421,318000,169435.4844464874,1948,0,357463.7681159421,447.57661352657004,FALSE
WALKER,1836,302646.7864923749,295750,490050.0281367823,2011,0,302646.7864923749,973.4628870915027,FALSE
WEBBER GREENS,654,387224.770642202,391250,293030.68234292074,2012,0,387224.770642202,1041.5683700305806,FALSE
WEDGEWOOD HEIGHTS,528,620034.0909090907,531000,288013.3364057281,1992,0,620034.0909090907,898.1278901515152,FALSE
WEINLOS,1122,276391.2655971471,286000,85602.25187331875,1982,0,276391.2655971471,433.7624358288771,FALSE
WELLINGTON,1013,261029.6150049358,276000,71413.04665645328,1958,0,261029.6150049358,560.1565932872655,FALSE
WEST JASPER PLACE,757,268802.5099075297,268000,125499.52162281123,1970,0,268802.5099075297,531.4684451783356,FALSE
WEST MEADOWLARK PARK,1066,239694.18386491656,241500,89361.39267800198,1965,0,239694.18386491656,340.26256566604155,FALSE
WESTBROOK ESTATE,337,894813.0563798222,823500,572266.8004007644,1968,0,894813.0563798222,1225.9611008902077,FALSE
WESTMOUNT,2510,322414.7964143418,317250,179409.25689546665,1968,0,322414.7964143418,357.0404593625491,FALSE
WESTRIDGE,544,514208.6397058823,485500,248596.1674193807,1976,0,514208.6397058823,809.5517352941176,FALSE
WESTVIEW VILLAGE,8,NA,NA,NA,NA,NA,NA,NA,TRUE
WESTWOOD,790,233634.17721519017,238500,112863.73266508848,1967,0,233634.17721519017,401.3715016455698,FALSE
WHITE INDUSTRIAL,1,NA,NA,NA,NA,NA,NA,NA,TRUE
WHITEMUD CREEK RAVINE TWIN BROOKS,4,NA,NA,NA,NA,NA,NA,NA,TRUE
WILD ROSE,2481,377462.3135832327,381500,112690.48251437474,2002,0,377462.3135832327,426.0118656187021,FALSE
WILSON INDUSTRIAL,2,NA,NA,NA,NA,NA,NA,NA,TRUE
WINDERMERE,2796,490915.41487839725,366500,756891.9073947406,2011,0,490915.41487839725,1105.7234045422015,FALSE
WINDERMERE AREA,5,NA,NA,NA,NA,NA,NA,NA,TRUE
WINDSOR PARK,491,834639.5112016292,685000,438440.5090621753,1953,0,834639.5112016292,906.1082892057027,FALSE
WINTERBURN INDUSTRIAL AREA EAST,6,NA,NA,NA,NA,NA,NA,NA,TRUE
WINTERBURN INDUSTRIAL AREA WEST,9,NA,NA,NA,NA,NA,NA,NA,TRUE
WOODCROFT,631,297200.4754358163,307000,72894.08918334075,1955,0,297200.4754358163,555.29240570523,FALSE
YELLOWHEAD CORRIDOR EAST,2,NA,NA,NA,NA,NA,NA,NA,TRUE
YORK,1150,256998.69565217398,279250,88219.57014769423,1967,0,256998.69565217398,478.42963652173916,FALSE
YOUNGSTOWN INDUSTRIAL,1,NA,NA,NA,NA,NA,NA,NA,TRUE
